Subject,'SNum',,,,
17165,6789,1,2,3,x
13473,7162,1,2,3,4
15426,6686,1,2,3,x
16668,5662,1,2,3,x
16717,5772,1,2,3,x
16797,5967,1,2,3,x
16809,6133,1,2,3,x
16999,6376,1,2,3,x
17028,6479,1,2,x,x
17057,6548,1,2,3,x
17158,6932,1,2,3,x
17326,7091,1,2,3,x
17415,7260,1,2,3,x
17429,7410,1,2,3,4
17629,7685,1,2,3,x
17734,7843,1,2,3,x
17962,8436,1,2,3,x
17971,8447,1,2,3,x
17648,7867,1,2,3,x
13420,7339,1,2,3,x
15450,7024,1,2,3,x
16603,6832,1,2,3,x
16863,6124,1,2,3,4
17301,7114,1,2,x,x
17379,7159,1,2,3,x
17397,7245,1,2,x,x
17411,7242,1,2,3,4
17527,7531,1,2,3,
17548,7569,1,2,,
17566,7665,1,2,3,4
17573,7645,1,2,3,
17723,7822,1,2,3,4
17950,8392,1,2,3,
17523,8187,1,2,x,x
17650,8154,1,2,x,x
17651,8490,1,2,x,x
17820,8089,1,2,x,x
17871,8130,1,2,x,x
17994,8485,1,2,x,x
18093,8937,1,2,x,x
18228,8976,1,2,x,x
94028,9004,1,2,x,x
120684,8747,1,2,x,x
124926,8368,1,2,x,x
17673,7784,1,2,3,x
17868,8121,1,2,x,x
17621,7766,1,2,x,x
15290,5522,1,2,3,4
11186,6378,1,2,3,x
11242,6377,1,2,x,x
11599,6169,1,2,3,x
12073,5906,1,2,4,x
12498,6425,1,2,3,
12583,6054,1,2,3,4
12822,5863,1,2,x,x
13190,5839,1,2,3,4
14828,6405,1,2,3,x
15305,8526,1,2,x,x
15440,5729,1,2,3,x
15546,4822,1,2,3,x
15628,4821,1,2,3,4
15630,6485,1,2,3,x
15688,5648,2,3,x,x
15832,5521,1,2,3,
15852,5829,1,2,3,
16239,5857,1,2,3,
16246,7384,1,2,3,
16537,6549,1,2,3,4
16602,8907,1,2,,
16832,7380,1,2,3,4
16973,6450,1,2,,
17196,7310,1,2,,
17428,7326,1,2,4,
17460,7387,1,2,,
17688,7778,1,2,3,
17717,8652,1,2,,
17776,8155,1,2,,
17878,8736,1,2,,
17904,8210,1,2,,
17952,8385,1,2,3,
18013,8549,1,2,3,
18121,8781,1,2,,
83835,8630,1,2,,
90683,8889,1,2,,
93204,8856,1,2,,
105168,8698,1,2,,
117256,8771,1,2,,
122801,8658,1,2,,
139272,8795,1,2,,
17543,7906,1,2,,
17694,8514,1,2,,
17741,8013,1,2,,
17794,7922,1,2,,
17838,8098,1,2,3,4
17926,8233,1,2,,
18094,8724,1,2,,
18207,8948,1,2,,
18213,9006,1,2,,
85005,8808,1,2,,
91855,8888,1,2,,
105490,8669,1,2,,
106573,8770,1,2,,
113220,8796,1,2,,
116531,8718,1,2,,
11569,5709,1,2,3,
10410,6843,1,2,3,4
11399,6052,1,2,3,
11419,6167,1,2,3,4
11801,5200,1,2,3,
11866,5856,1,2,3,
12202,5043,1,2,4,
12285,6348,1,2,3,
12738,6233,1,2,,
12740,6211,1,2,,
12835,6449,1,2,3,
12938,5643,1,2,3,4
13372,6634,1,2,,
13548,5467,1,2,3,
14343,6263,1,2,3,
14805,6411,1,2,,
15444,6170,1,2,,
15802,4888,1,2,3,4
16382,6949,1,2,3,
16662,6304,1,2,3,
17256,6958,1,2,3,4
17274,7028,1,2,3,
17363,7157,1,2,3,4
12913,6593,1,2,,
18271,9168,1,2,,
121407,8617,1,2,,
17649,7770,1,2,,
120217,9021,1,2,,
18265,9022,1,2,,
99949,9044,1,2,,
86061,9062,1,2,,
83010,9077,1,2,,
91460,9080,1,2,,
105634,9089,1,2,,
82063,9154,1,2,,
18299,9156,1,2,,
13550,9171,1,2,,
118990,9219,1,2,,
18377,9339,1,2,,
18382,9374,1,2,,
18406,9467,1,2,,
